,instance_folder,instance_id,sample,sample_durations,time_limit,solve_time,solver_status,obj_gap,obj_value
69,j30,7,9,"[0, 2, 6, 1, 3, 5, 1, 9, 2, 7, 5, 8, 7, 2, 2, 2, 1, 2, 4, 2, 2, 1, 11, 2, 5, 5, 8, 8, 4, 1, 6, 0]",10,0.0,Infeasible,,
70,j30,8,0,"[0, 11, 8, 10, 2, 5, 6, 8, 1, 2, 4, 1, 4, 6, 2, 7, 1, 1, 3, 1, 7, 7, 10, 6, 10, 1, 6, 3, 5, 1, 3, 0]",10,0.0,Infeasible,,
71,j30,8,1,"[0, 7, 5, 12, 3, 3, 6, 6, 1, 1, 8, 1, 5, 5, 2, 6, 1, 2, 4, 2, 3, 8, 12, 4, 7, 2, 6, 2, 4, 2, 6, 0]",10,0.00999999,Infeasible,,
72,j30,8,2,"[0, 8, 9, 6, 5, 3, 7, 5, 1, 1, 5, 1, 6, 7, 3, 3, 1, 1, 3, 2, 7, 8, 11, 4, 9, 1, 2, 2, 5, 1, 3, 0]",10,0.0,Infeasible,,
73,j30,8,3,"[0, 9, 9, 8, 2, 2, 6, 6, 1, 2, 7, 1, 4, 5, 3, 7, 1, 2, 4, 1, 6, 8, 11, 3, 9, 1, 5, 2, 7, 2, 6, 0]",10,0.0,Infeasible,,
74,j30,8,4,"[0, 7, 5, 10, 4, 2, 7, 9, 1, 2, 5, 1, 4, 7, 2, 7, 1, 1, 6, 2, 7, 6, 6, 5, 9, 2, 4, 2, 7, 2, 4, 0]",10,0.0,Infeasible,,
75,j30,8,5,"[0, 8, 5, 7, 4, 4, 7, 5, 1, 1, 5, 1, 6, 9, 4, 3, 1, 1, 3, 1, 4, 9, 8, 3, 11, 1, 3, 3, 3, 2, 5, 0]",10,0.0,Infeasible,,
76,j30,8,6,"[0, 7, 6, 12, 6, 2, 8, 5, 1, 2, 4, 1, 7, 6, 4, 7, 1, 2, 2, 2, 3, 8, 7, 4, 11, 1, 2, 2, 5, 2, 5, 0]",10,0.0,Infeasible,,
77,j30,8,7,"[0, 10, 7, 12, 2, 3, 8, 8, 1, 2, 5, 1, 6, 9, 5, 3, 1, 1, 2, 2, 7, 7, 10, 5, 6, 2, 5, 2, 3, 1, 4, 0]",10,0.0,Infeasible,,
78,j30,8,8,"[0, 7, 5, 10, 5, 2, 6, 7, 1, 1, 8, 1, 7, 8, 5, 6, 1, 1, 5, 1, 6, 9, 9, 5, 10, 1, 2, 5, 6, 1, 5, 0]",10,0.0,Infeasible,,
79,j30,8,9,"[0, 11, 6, 6, 4, 4, 7, 5, 1, 1, 5, 1, 8, 5, 2, 7, 1, 1, 3, 2, 6, 6, 10, 4, 8, 2, 3, 4, 3, 1, 4, 0]",10,0.0,Infeasible,,
80,j30,9,0,"[0, 8, 8, 1, 2, 8, 2, 2, 6, 1, 5, 11, 10, 3, 7, 8, 1, 12, 4, 1, 7, 7, 4, 6, 1, 1, 6, 7, 2, 7, 7, 0]",10,0.0,Infeasible,,
81,j30,9,1,"[0, 5, 5, 2, 2, 6, 3, 2, 9, 2, 2, 6, 11, 3, 7, 6, 1, 9, 3, 2, 7, 7, 2, 3, 1, 1, 7, 7, 1, 10, 6, 0]",10,0.33,Optimal,0.0,95.0
82,j30,9,2,"[0, 8, 5, 3, 1, 9, 3, 4, 7, 2, 2, 12, 7, 3, 11, 10, 2, 11, 3, 2, 4, 3, 4, 4, 1, 1, 5, 6, 1, 8, 12, 0]",10,0.33,Optimal,0.0,106.0
83,j30,9,3,"[0, 5, 4, 2, 2, 8, 2, 2, 9, 2, 4, 8, 10, 2, 9, 11, 1, 9, 6, 2, 8, 7, 6, 3, 1, 1, 4, 7, 1, 6, 11, 0]",10,0.23,Optimal,0.0,113.0
84,j30,9,4,"[0, 7, 8, 2, 2, 5, 4, 6, 9, 1, 2, 7, 12, 1, 7, 6, 1, 9, 3, 1, 8, 7, 4, 4, 1, 1, 4, 4, 1, 8, 6, 0]",10,0.13,Optimal,0.0,96.0
85,j30,9,5,"[0, 6, 6, 1, 3, 5, 3, 4, 6, 2, 2, 8, 6, 2, 6, 7, 2, 6, 3, 2, 5, 4, 6, 6, 1, 1, 7, 3, 2, 6, 9, 0]",10,0.48,Optimal,0.0,85.0
86,j30,9,6,"[0, 6, 6, 2, 2, 9, 2, 2, 8, 2, 3, 11, 6, 3, 11, 6, 1, 8, 5, 1, 6, 3, 5, 5, 1, 1, 5, 5, 1, 9, 6, 0]",10,0.4,Optimal,0.0,92.0
87,j30,9,7,"[0, 5, 8, 3, 1, 7, 2, 5, 5, 1, 2, 11, 8, 2, 6, 10, 2, 6, 3, 1, 8, 7, 5, 5, 1, 1, 7, 6, 1, 9, 12, 0]",10,0.32,Optimal,0.0,105.0
88,j30,9,8,"[0, 8, 8, 3, 1, 9, 2, 5, 8, 1, 5, 11, 12, 3, 11, 7, 2, 6, 4, 1, 6, 3, 4, 3, 1, 1, 8, 3, 1, 10, 12, 0]",10,0.39,Optimal,0.0,110.0
89,j30,9,9,"[0, 6, 7, 2, 1, 6, 4, 3, 5, 1, 4, 12, 10, 2, 6, 6, 2, 7, 2, 1, 7, 5, 5, 6, 1, 1, 8, 6, 1, 6, 6, 0]",10,0.16,Optimal,0.0,87.0
90,j30,10,0,"[0, 2, 7, 2, 4, 4, 7, 3, 6, 2, 8, 8, 1, 2, 5, 6, 6, 1, 5, 7, 5, 1, 1, 3, 4, 1, 5, 6, 7, 3, 1, 0]",10,0.0699999,Optimal,0.0,73.0
91,j30,10,1,"[0, 3, 5, 3, 5, 4, 4, 7, 7, 1, 4, 7, 2, 1, 4, 2, 7, 3, 3, 4, 6, 1, 1, 2, 3, 1, 4, 9, 6, 2, 2, 0]",10,0.0,Infeasible,,
