instance_folder,instance_id,method,time_limit_cp_stnu,can_build_stnu,dc,obj,feasibility,real_durations,start_times,time_offline,time_online,mode,obj_pi
j30,12,STNU_robust,60,True,True,52.0,True,"[0, 9, 7, 8, 6, 1, 3, 6, 5, 5, 4, 4, 5, 12, 8, 5, 3, 3, 4, 3, 7, 7, 2, 4, 5, 6, 4, 3, 3, 5, 7, 0]","[0, 6, 12, 0, 6, 19, 15, 0, 0, 19, 8, 28, 14, 0, 42, 14, 28, 20, 31, 24, 42, 40, 50, 40, 22, 22, 32, 19, 35, 24, 7, 52]",1.2092580795288086,0.056880950927734375,robust,43.0
j30,12,STNU_robust,60,True,True,51.0,True,"[0, 7, 11, 9, 6, 1, 3, 8, 5, 8, 7, 6, 5, 11, 4, 5, 6, 1, 8, 7, 6, 5, 1, 5, 2, 4, 5, 7, 4, 5, 7, 0]","[0, 8, 11, 0, 8, 22, 16, 0, 0, 19, 9, 29, 14, 0, 40, 14, 26, 23, 32, 29, 43, 41, 44, 41, 23, 22, 36, 22, 40, 29, 7, 51]",1.2092580795288086,0.05692291259765625,robust,46.0
j30,12,STNU_robust,60,True,True,52.0,True,"[0, 6, 8, 10, 10, 1, 2, 5, 7, 5, 4, 5, 5, 7, 6, 6, 6, 3, 6, 3, 6, 7, 1, 5, 2, 3, 4, 7, 3, 4, 11, 0]","[0, 7, 10, 0, 5, 22, 17, 0, 0, 23, 10, 30, 18, 0, 41, 16, 27, 23, 33, 30, 44, 39, 47, 41, 23, 24, 35, 23, 39, 30, 7, 52]",1.2092580795288086,0.056198835372924805,robust,42.0
j30,12,STNU_robust,60,True,True,52.0,True,"[0, 11, 7, 8, 7, 2, 2, 6, 3, 4, 5, 3, 3, 9, 5, 3, 6, 1, 7, 3, 8, 5, 2, 4, 4, 6, 3, 3, 3, 3, 9, 0]","[0, 6, 9, 0, 6, 19, 17, 0, 0, 19, 8, 30, 16, 0, 44, 16, 30, 20, 36, 23, 44, 43, 49, 43, 21, 24, 33, 19, 43, 26, 7, 52]",1.2092580795288086,0.05654764175415039,robust,42.0
j30,12,STNU_robust,60,True,True,52.0,True,"[0, 7, 7, 11, 6, 1, 3, 4, 7, 6, 7, 7, 4, 12, 4, 5, 5, 2, 5, 5, 9, 8, 1, 3, 6, 4, 5, 7, 5, 2, 11, 0]","[0, 7, 12, 0, 4, 22, 18, 0, 0, 22, 11, 29, 18, 0, 42, 16, 28, 23, 33, 29, 43, 41, 46, 41, 23, 24, 36, 22, 38, 29, 7, 51]",1.2092580795288086,0.05727577209472656,robust,45.0
j30,12,STNU_robust,60,True,True,53.0,True,"[0, 9, 6, 6, 10, 2, 4, 5, 3, 8, 7, 3, 3, 8, 8, 6, 5, 3, 7, 6, 8, 7, 2, 6, 6, 5, 4, 7, 7, 2, 9, 0]","[0, 5, 8, 0, 5, 20, 16, 0, 0, 22, 6, 30, 16, 0, 43, 16, 29, 21, 34, 30, 44, 41, 51, 41, 22, 24, 36, 20, 41, 30, 7, 53]",1.2092580795288086,0.05690884590148926,robust,44.0
j30,12,STNU_robust,60,True,True,50.0,True,"[0, 9, 6, 9, 11, 1, 4, 5, 3, 6, 6, 5, 2, 8, 5, 6, 2, 1, 8, 4, 8, 6, 1, 4, 4, 3, 4, 3, 3, 4, 10, 0]","[0, 5, 9, 0, 5, 21, 17, 0, 0, 22, 9, 28, 17, 0, 41, 16, 27, 22, 29, 28, 42, 39, 46, 40, 22, 24, 33, 21, 37, 28, 7, 50]",1.2092580795288086,0.05542922019958496,robust,42.0
j30,12,STNU_robust,60,True,True,52.0,True,"[0, 7, 12, 6, 6, 2, 3, 4, 7, 7, 6, 6, 2, 12, 8, 5, 2, 1, 4, 7, 6, 9, 2, 5, 4, 6, 3, 6, 7, 2, 6, 0]","[0, 7, 12, 0, 4, 24, 14, 0, 0, 18, 7, 30, 13, 0, 41, 13, 27, 25, 31, 30, 44, 40, 49, 40, 26, 21, 37, 24, 37, 30, 7, 52]",1.2092580795288086,0.055593013763427734,robust,43.0
j30,13,STNU_robust,60,True,True,79.0,True,"[0, 8, 1, 6, 7, 6, 4, 5, 1, 3, 10, 1, 8, 1, 3, 8, 1, 4, 3, 8, 1, 9, 1, 5, 6, 4, 10, 11, 6, 1, 3, 0]","[0, 0, 8, 29, 6, 0, 0, 16, 18, 21, 59, 43, 20, 62, 50, 54, 36, 63, 53, 64, 53, 69, 44, 54, 27, 39, 69, 21, 33, 14, 39, 78]",2.0720503330230713,0.05988812446594238,robust,59.0
j30,13,STNU_robust,60,True,True,75.0,True,"[0, 6, 2, 12, 6, 4, 5, 6, 1, 3, 6, 1, 8, 1, 3, 6, 1, 3, 5, 8, 1, 6, 1, 2, 5, 4, 11, 7, 5, 2, 6, 0]","[0, 0, 6, 29, 4, 0, 0, 16, 18, 21, 56, 43, 20, 60, 50, 54, 36, 61, 53, 62, 53, 64, 44, 54, 27, 39, 64, 21, 32, 12, 41, 73]",2.0720503330230713,0.05925774574279785,robust,54.0
