,instance_folder,instance_id,sample,sample_durations,time_limit,obj_gap,obj_value,solve_time,solver_status
352,j20,36,2,"[0, 7, 3, 3, 11, 2, 7, 3, 2, 7, 6, 2, 1, 1, 1, 7, 6, 10, 4, 1, 7, 0]",10,0.0,61.0,0.25,Optimal
353,j20,36,3,"[0, 6, 6, 4, 8, 2, 5, 6, 3, 6, 7, 2, 1, 3, 1, 7, 6, 11, 6, 1, 6, 0]",10,0.0,62.0,0.15,Optimal
354,j20,36,4,"[0, 11, 4, 6, 12, 1, 5, 4, 4, 5, 8, 1, 3, 3, 1, 6, 3, 7, 3, 1, 6, 0]",10,0.0,63.0,0.27,Optimal
355,j20,36,5,"[0, 6, 3, 7, 11, 1, 7, 6, 5, 7, 5, 2, 1, 1, 1, 10, 7, 7, 2, 1, 7, 0]",10,0.0,67.0,0.2,Optimal
356,j20,36,6,"[0, 8, 3, 5, 10, 2, 6, 2, 4, 8, 9, 1, 1, 2, 1, 10, 4, 6, 4, 1, 6, 0]",10,0.0,58.0,0.15,Optimal
357,j20,36,7,"[0, 7, 5, 7, 10, 2, 7, 4, 2, 5, 7, 1, 3, 3, 1, 6, 4, 8, 6, 1, 3, 0]",10,0.0,60.0,0.22,Optimal
358,j20,36,8,"[0, 11, 4, 5, 7, 2, 9, 4, 2, 4, 6, 2, 1, 2, 1, 9, 4, 7, 6, 1, 7, 0]",10,0.0,68.0,0.49,Optimal
359,j20,36,9,"[0, 9, 3, 6, 6, 2, 6, 4, 6, 4, 5, 2, 2, 2, 1, 11, 3, 11, 2, 1, 7, 0]",10,0.0,62.0,0.13,Optimal
360,j20,37,0,"[0, 2, 5, 10, 1, 2, 7, 9, 2, 6, 2, 2, 8, 8, 3, 4, 1, 1, 9, 6, 1, 0]",10,0.0,68.0,0.15,Optimal
361,j20,37,1,"[0, 2, 6, 8, 1, 2, 11, 8, 1, 7, 3, 3, 4, 5, 3, 3, 1, 1, 6, 4, 1, 0]",10,0.0,66.0,0.13,Optimal
362,j20,37,2,"[0, 2, 2, 6, 1, 3, 9, 8, 2, 6, 5, 3, 5, 5, 5, 6, 1, 1, 5, 5, 2, 0]",10,0.0,65.0,0.33,Optimal
363,j20,37,3,"[0, 1, 4, 10, 1, 2, 11, 9, 2, 8, 2, 1, 5, 6, 4, 3, 1, 1, 5, 5, 2, 0]",10,0.0,66.0,0.19,Optimal
364,j20,37,4,"[0, 2, 6, 9, 1, 3, 7, 9, 3, 6, 2, 3, 6, 5, 5, 6, 1, 1, 7, 4, 1, 0]",10,0.0,68.0,0.28,Optimal
365,j20,37,5,"[0, 2, 3, 7, 1, 3, 9, 6, 1, 11, 6, 2, 6, 8, 5, 5, 1, 1, 5, 7, 1, 0]",10,0.0,72.0,0.23,Optimal
366,j20,37,6,"[0, 2, 6, 12, 1, 2, 11, 10, 2, 6, 6, 3, 4, 6, 6, 3, 1, 1, 6, 4, 1, 0]",10,,,10.0,Unknown
367,j20,37,7,"[0, 1, 6, 6, 1, 2, 7, 10, 2, 6, 4, 2, 6, 8, 6, 4, 1, 1, 7, 4, 2, 0]",10,0.0,67.0,0.27,Optimal
368,j20,37,8,"[0, 1, 4, 6, 1, 4, 11, 7, 3, 10, 2, 3, 5, 6, 3, 6, 1, 1, 7, 4, 2, 0]",10,0.0,73.0,0.23,Optimal
369,j20,37,9,"[0, 2, 2, 7, 1, 3, 6, 7, 2, 7, 6, 1, 7, 4, 5, 2, 1, 1, 8, 5, 1, 0]",10,0.0,59.0,0.25,Optimal
370,j20,38,0,"[0, 5, 8, 6, 7, 8, 11, 2, 4, 1, 7, 8, 11, 7, 3, 2, 4, 10, 1, 5, 1, 0]",10,0.0,95.0,3.99,Optimal
371,j20,38,1,"[0, 5, 8, 8, 10, 7, 10, 3, 5, 1, 12, 4, 11, 4, 2, 2, 4, 7, 1, 4, 1, 0]",10,0.0,94.0,6.98,Optimal
372,j20,38,2,"[0, 6, 5, 6, 6, 8, 8, 3, 4, 1, 12, 7, 11, 4, 2, 1, 2, 7, 1, 6, 1, 0]",10,0.0,89.0,2.65,Optimal
373,j20,38,3,"[0, 4, 8, 6, 11, 8, 7, 4, 4, 1, 10, 5, 8, 5, 2, 1, 4, 7, 1, 6, 2, 0]",10,0.304348,92.0,993.18,Feasible
374,j20,38,4,"[0, 6, 7, 11, 7, 8, 12, 2, 4, 1, 8, 6, 7, 6, 1, 3, 4, 12, 1, 3, 1, 0]",10,0.0,92.0,2.55,Optimal
375,j20,38,5,"[0, 3, 5, 11, 9, 5, 6, 6, 6, 1, 10, 7, 11, 6, 2, 1, 5, 10, 1, 6, 1, 0]",10,0.0,102.0,1.97,Optimal
376,j20,38,6,"[0, 6, 8, 7, 6, 9, 8, 2, 6, 1, 10, 5, 7, 3, 3, 1, 2, 6, 1, 7, 2, 0]",10,0.287356,87.0,1074.22,Feasible
377,j20,38,7,"[0, 6, 5, 6, 8, 8, 7, 4, 8, 1, 10, 6, 8, 3, 2, 3, 4, 12, 1, 5, 2, 0]",10,0.0,95.0,2.83,Optimal
