,instance_folder,instance_id,rel_regret,obj,obj_pi,method,time_limit_pi,time_limit_rescheduling,solver_calls,feasibility,feasibility_pi,real_durations,start_times
63,j10,7,4.761904761904762,44.0,42.0,reactive,60,10,12,True,True,"[0, 8, 1, 3, 11, 7, 6, 4, 2, 8, 2, 0]","[0, 3, 28, 0, 0, 12, 39, 21, 30, 29, 0, 44]"
64,j10,7,100.0,inf,42.0,reactive,60,10,4,False,True,"[0, 11, 1, 3, 9, 8, 2, 6, 2, 9, 3, 0]","[0, 2, 28, 0, 0, 11, 37, 18, 30, 29, 0, 42]"
65,j10,7,100.0,inf,42.0,reactive,60,10,6,False,True,"[0, 6, 1, 4, 12, 8, 3, 5, 3, 11, 3, 0]","[0, 3, 28, 0, 0, 11, 37, 18, 30, 29, 0, 42]"
66,j10,7,100.0,inf,42.0,reactive,60,10,6,False,True,"[0, 11, 1, 5, 8, 5, 6, 2, 2, 9, 1, 0]","[0, 3, 28, 0, 0, 12, 37, 19, 30, 29, 0, 42]"
67,j10,7,100.0,inf,42.0,reactive,60,10,8,False,True,"[0, 6, 1, 2, 7, 7, 6, 6, 3, 6, 2, 0]","[0, 0, 28, 0, 0, 11, 37, 18, 30, 29, 22, 42]"
68,j10,7,100.0,inf,42.0,reactive,60,10,6,False,True,"[0, 6, 1, 2, 11, 7, 6, 5, 1, 8, 2, 0]","[0, 14, 28, 0, 0, 7, 37, 20, 31, 29, 0, 42]"
69,j10,7,100.0,inf,42.0,reactive,60,10,7,False,True,"[0, 9, 1, 5, 7, 9, 6, 6, 2, 6, 2, 0]","[0, 2, 28, 0, 0, 11, 37, 18, 30, 29, 0, 42]"
70,j10,8,100.0,inf,41.0,reactive,60,10,4,False,True,"[0, 6, 12, 3, 8, 5, 1, 2, 2, 1, 3, 0]","[0, 10, 0, 4, 19, 27, 28, 36, 28, 39, 33, 40]"
71,j10,8,5.128205128205129,41.0,39.0,reactive,60,10,12,True,True,"[0, 8, 10, 3, 6, 5, 2, 1, 2, 1, 1, 0]","[0, 12, 0, 6, 21, 27, 30, 38, 30, 36, 33, 41]"
72,j10,8,100.0,inf,36.0,reactive,60,10,7,False,True,"[0, 7, 7, 5, 7, 4, 2, 1, 1, 1, 2, 0]","[0, 10, 0, 1, 19, 27, 25, 36, 25, 32, 18, 39]"
