instance_id,method,real_durations,rel_regret
17,proactive,"[0, 4, 1, 5, 2, 2, 6, 9, 2, 4, 2, 3, 6, 5, 5, 3, 3, 3, 5, 4, 7, 1, 8, 4, 4, 7, 2, 3, 1, 2, 2, 0]",15.68627450980392
17,proactive,"[0, 4, 1, 8, 1, 2, 5, 10, 1, 3, 2, 7, 9, 7, 3, 2, 3, 2, 3, 4, 8, 1, 8, 3, 3, 9, 2, 2, 1, 1, 2, 0]",3.4482758620689653
17,proactive,"[0, 5, 1, 6, 1, 2, 6, 11, 2, 7, 2, 3, 7, 4, 2, 2, 3, 3, 6, 2, 10, 1, 6, 5, 4, 6, 1, 5, 1, 1, 6, 0]",28.26086956521739
17,proactive,"[0, 6, 1, 4, 1, 3, 5, 9, 1, 3, 1, 5, 7, 6, 2, 2, 4, 3, 5, 4, 8, 1, 8, 5, 4, 6, 2, 2, 1, 2, 3, 0]",31.11111111111111
17,proactive,"[0, 7, 1, 7, 1, 3, 4, 7, 1, 3, 3, 3, 6, 7, 3, 5, 6, 2, 2, 2, 10, 1, 4, 4, 2, 9, 1, 2, 1, 2, 4, 0]",30.43478260869565
17,proactive,"[0, 7, 1, 8, 2, 1, 6, 9, 2, 4, 2, 5, 7, 6, 4, 4, 3, 1, 3, 2, 9, 1, 8, 4, 3, 5, 1, 5, 1, 1, 4, 0]",11.320754716981131
20,STNU,"[0, 1, 2, 3, 6, 1, 5, 2, 10, 2, 2, 2, 6, 3, 3, 1, 2, 1, 4, 11, 2, 2, 3, 2, 2, 2, 5, 4, 4, 3, 2, 0]",6.451612903225806
20,STNU,"[0, 1, 2, 4, 9, 2, 6, 2, 7, 2, 1, 1, 5, 4, 1, 1, 3, 2, 3, 7, 3, 2, 1, 4, 1, 1, 6, 5, 5, 5, 2, 0]",6.666666666666667
20,STNU,"[0, 1, 2, 6, 6, 2, 6, 1, 9, 1, 1, 1, 5, 6, 2, 3, 3, 1, 6, 8, 2, 1, 2, 3, 3, 1, 5, 4, 4, 2, 1, 0]",3.4482758620689653
20,STNU,"[0, 2, 3, 3, 6, 3, 8, 1, 9, 1, 1, 2, 4, 7, 2, 2, 3, 2, 6, 9, 1, 1, 2, 5, 2, 2, 6, 5, 5, 2, 2, 0]",6.896551724137931
20,STNU,"[0, 2, 3, 4, 7, 3, 6, 1, 11, 1, 1, 1, 3, 7, 3, 1, 1, 3, 4, 7, 1, 2, 1, 4, 3, 1, 7, 3, 2, 2, 1, 0]",0.0
20,STNU,"[0, 2, 3, 7, 7, 3, 5, 1, 9, 2, 2, 2, 6, 7, 3, 1, 2, 1, 5, 9, 3, 2, 3, 5, 2, 1, 7, 3, 5, 2, 2, 0]",3.333333333333333
20,STNU,"[0, 3, 1, 6, 7, 3, 6, 2, 7, 1, 2, 1, 4, 4, 2, 1, 3, 1, 3, 11, 3, 2, 2, 3, 2, 2, 8, 6, 4, 5, 1, 0]",6.451612903225806
20,STNU,"[0, 3, 2, 3, 6, 2, 4, 1, 11, 2, 2, 1, 4, 6, 3, 2, 1, 1, 5, 9, 3, 1, 3, 4, 3, 2, 5, 5, 5, 2, 2, 0]",3.225806451612903
20,STNU,"[0, 3, 3, 4, 6, 2, 8, 2, 6, 2, 1, 1, 3, 7, 2, 2, 3, 1, 7, 9, 2, 2, 2, 5, 1, 1, 5, 3, 4, 5, 2, 0]",13.79310344827586
20,STNU,"[0, 3, 3, 5, 8, 1, 4, 2, 8, 1, 1, 2, 3, 7, 2, 1, 3, 1, 4, 10, 3, 2, 1, 2, 1, 1, 8, 5, 4, 3, 2, 0]",6.666666666666667
20,proactive,"[0, 1, 1, 3, 5, 1, 6, 1, 9, 1, 1, 2, 3, 3, 1, 2, 1, 3, 3, 7, 2, 2, 3, 3, 1, 2, 6, 2, 2, 3, 1, 0]",17.24137931034483
20,proactive,"[0, 1, 2, 6, 8, 3, 6, 1, 8, 1, 1, 1, 3, 7, 2, 2, 1, 1, 5, 7, 1, 2, 2, 5, 1, 1, 7, 3, 5, 6, 1, 0]",16.666666666666668
20,proactive,"[0, 1, 3, 4, 9, 1, 7, 2, 7, 1, 1, 2, 3, 3, 2, 2, 1, 2, 5, 10, 3, 1, 2, 5, 3, 1, 7, 6, 2, 4, 2, 0]",13.333333333333334
20,proactive,"[0, 2, 1, 5, 8, 1, 8, 2, 7, 1, 2, 2, 7, 3, 2, 3, 2, 2, 3, 9, 3, 1, 1, 4, 1, 2, 5, 4, 3, 4, 2, 0]",17.24137931034483
20,proactive,"[0, 2, 1, 7, 8, 2, 5, 2, 6, 1, 2, 1, 3, 7, 3, 1, 3, 2, 7, 7, 2, 2, 3, 2, 1, 1, 9, 2, 3, 2, 2, 0]",17.24137931034483
20,proactive,"[0, 2, 2, 3, 7, 2, 5, 1, 6, 1, 2, 1, 7, 3, 1, 1, 2, 1, 6, 7, 1, 1, 3, 2, 2, 1, 9, 4, 4, 3, 1, 0]",17.24137931034483
20,proactive,"[0, 3, 1, 4, 6, 3, 6, 2, 9, 2, 1, 2, 5, 7, 3, 1, 1, 3, 4, 6, 3, 2, 1, 4, 2, 2, 8, 2, 4, 6, 1, 0]",16.666666666666668
20,proactive,"[0, 3, 2, 5, 5, 1, 7, 2, 11, 1, 2, 1, 7, 5, 1, 3, 1, 1, 5, 9, 3, 1, 1, 4, 2, 2, 6, 2, 2, 6, 1, 0]",9.375
20,proactive,"[0, 3, 2, 6, 6, 2, 5, 2, 11, 2, 2, 1, 4, 5, 3, 1, 1, 3, 5, 8, 1, 2, 1, 5, 2, 1, 6, 4, 2, 5, 1, 0]",9.67741935483871
20,proactive,"[0, 3, 3, 7, 8, 2, 4, 2, 6, 2, 2, 1, 6, 3, 3, 2, 2, 3, 4, 9, 1, 1, 2, 3, 2, 2, 5, 6, 2, 4, 2, 0]",17.24137931034483
21,proactive,"[0, 2, 7, 6, 8, 5, 5, 2, 11, 9, 5, 9, 9, 8, 4, 3, 2, 8, 7, 1, 3, 6, 6, 1, 1, 5, 6, 6, 9, 3, 1, 0]",12.244897959183673
21,proactive,"[0, 2, 7, 8, 9, 2, 4, 2, 11, 9, 6, 9, 7, 5, 7, 3, 5, 8, 12, 2, 4, 4, 8, 3, 1, 9, 6, 7, 6, 4, 1, 0]",12.5
21,proactive,"[0, 5, 10, 9, 9, 4, 5, 6, 9, 6, 5, 7, 10, 5, 5, 3, 5, 8, 6, 1, 5, 4, 10, 3, 1, 5, 7, 7, 6, 4, 3, 0]",12.5
