instance_folder,instance_id,method,time_limit,feasibility,obj,time_offline,time_online,start_times,real_durations
j10,9,robust_quantile_0.9,60,True,51.0,0.050646066665649414,0.00030994415283203125,"[0, 0, 14, 11, 0, 13, 22, 31, 41, 34, 29, 51]","[0, 5, 10, 1, 7, 8, 7, 7, 10, 3, 3, 0]"
j10,9,robust_quantile_0.9,60,True,51.0,0.050646066665649414,0.00021386146545410156,"[0, 0, 14, 11, 0, 13, 22, 31, 41, 34, 29, 51]","[0, 5, 7, 1, 6, 9, 4, 7, 8, 4, 2, 0]"
j10,9,robust_quantile_0.9,60,True,51.0,0.050646066665649414,0.000225067138671875,"[0, 0, 14, 11, 0, 13, 22, 31, 41, 34, 29, 51]","[0, 3, 9, 2, 11, 9, 6, 6, 9, 3, 2, 0]"
j10,9,robust_quantile_0.9,60,True,53.0,0.050646066665649414,0.00022101402282714844,"[0, 0, 14, 11, 0, 13, 22, 31, 41, 34, 29, 51]","[0, 4, 8, 2, 7, 8, 7, 7, 12, 3, 2, 0]"
j10,9,robust_quantile_0.9,60,True,52.0,0.050646066665649414,0.00024008750915527344,"[0, 0, 14, 11, 0, 13, 22, 31, 41, 34, 29, 51]","[0, 3, 7, 2, 9, 5, 3, 9, 11, 5, 2, 0]"
j10,10,robust_quantile_0.9,60,True,39.0,0.09709501266479492,0.0002009868621826172,"[0, 0, 8, 6, 24, 20, 32, 19, 11, 29, 35, 39]","[0, 5, 1, 1, 2, 7, 2, 5, 4, 1, 3, 0]"
j10,10,robust_quantile_0.9,60,True,40.0,0.09709501266479492,0.0001838207244873047,"[0, 0, 8, 6, 24, 20, 32, 19, 11, 29, 35, 39]","[0, 6, 2, 1, 2, 7, 3, 2, 6, 1, 5, 0]"
j10,10,robust_quantile_0.9,60,True,39.0,0.09709501266479492,0.00021076202392578125,"[0, 0, 8, 6, 24, 20, 32, 19, 11, 29, 35, 39]","[0, 6, 3, 1, 2, 11, 3, 4, 8, 2, 3, 0]"
j10,10,robust_quantile_0.9,60,True,39.0,0.09709501266479492,0.0001652240753173828,"[0, 0, 8, 6, 24, 20, 32, 19, 11, 29, 35, 39]","[0, 2, 3, 1, 3, 7, 2, 5, 5, 2, 2, 0]"
j10,10,robust_quantile_0.9,60,True,39.0,0.09709501266479492,0.0001709461212158203,"[0, 0, 8, 6, 24, 20, 32, 19, 11, 29, 35, 39]","[0, 6, 2, 1, 2, 6, 2, 5, 6, 2, 2, 0]"
j10,10,robust_quantile_0.9,60,True,39.0,0.09709501266479492,0.0001728534698486328,"[0, 0, 8, 6, 24, 20, 32, 19, 11, 29, 35, 39]","[0, 5, 3, 1, 3, 7, 2, 5, 8, 1, 3, 0]"
