,seed,makespan,lateness,nr_unfinished_products
199,44674,896.8621944458905,363.8907465755668,4
200,60093,908.5002285103843,358.0442069677439,2
201,63472,914.2775261788703,365.556616312768,6
202,95392,923.306117387001,362.05093424872007,4
203,61957,894.1094599700931,297.10558327691626,5
204,65053,929.6527007348927,336.6955756360031,6
205,25607,908.6299756846649,362.45565727543726,2
206,71867,909.4448488199171,342.7476334986893,2
207,73147,901.891273203823,337.6753170187734,4
208,35433,921.4617321415291,475.24479602423116,4
209,54116,899.0578086679818,470.5655174649089,5
210,30968,925.6997586796074,515.523736401895,3
211,45866,914.9809475773347,395.71095847135393,4
212,91275,924.0843009278595,330.5381417221806,3
213,13909,918.0216072865161,380.78849076496647,3
214,25797,909.6190679739742,376.92005613247125,4
215,80829,927.2714594972282,395.6129459157937,4
216,53801,908.5295100760284,463.11545075645574,4
217,57383,906.919318065491,466.1455160449333,5
218,81774,922.6552191678863,338.8846583145689,3
219,45322,899.8447529154565,461.7468489334136,3
220,6938,912.5547196893449,283.96808795145057,5
221,74751,915.6328229241773,417.546569254147,5
222,72791,901.1086277688621,490.33255152028573,4
223,38473,914.2047502149726,478.43637377993855,4
224,56385,930.2289114666481,400.30410225759385,3
225,82215,908.6495304398755,365.49225985062037,4
226,10511,907.0690974999328,338.5399885302013,3
227,93539,914.0033509822191,318.05210064768676,4
228,42784,923.8686847580188,376.3794821868519,3
229,89919,912.7171796480565,385.4609654190492,3
230,92131,916.4340147814373,357.4210833299114,5
231,58622,912.8286946619037,345.50269331023924,3
232,22640,915.9461614900936,400.69035837744,4
233,42812,920.5983396731639,330.702900220072,3
234,63422,925.4953582324042,335.9431557325008,5
235,73620,935.3293445167999,329.2421710278419,6
236,46209,922.1488502795243,456.21225151585134,3
237,4754,906.7876204397086,301.03763060776225,5
238,61835,898.6996177704207,337.99475666356466,3
239,74339,909.9010439903047,329.7526223485311,3
240,38121,922.5228208792503,364.19565221621326,2
241,21810,912.94731608139,346.1077429833923,4
242,83527,891.5867776577786,300.975839303426,6
243,46947,893.4018459884329,310.46970904787736,6
244,30125,892.978677443782,320.50526013285923,4
245,2945,887.3676412245628,328.04148407485206,4
246,58876,918.5587197729551,377.59894069859376,4
247,92171,914.1796750054508,476.6290618271677,4
248,71692,915.0461508670498,327.67081534987585,6
249,3994,905.0380086776488,305.65491079370133,5
250,24608,892.0082987602317,359.75400544913975,4
251,35265,922.2238656955066,343.108615862104,3
252,80414,880.61809249591,172.20982532516484,4
253,31455,926.7031850097343,364.0702744221953,4
254,15937,917.2436464941663,365.88684943283556,2
255,79270,911.3414398942078,357.22486788472156,2
256,55304,904.6891303809176,267.99091071870066,5
257,84689,916.4417567613393,365.83678616057637,4
258,29634,900.7460004166412,300.6180002276052,4
259,43804,906.5834514520129,350.7597834258389,5
260,84730,929.3223638654242,359.1408855429278,3
261,55499,915.656772416871,366.14092431621714,4
262,24319,913.4499675804956,344.0644068081558,4
263,22846,925.1632432702904,348.162100536817,3
264,99842,910.0048461639386,361.18091914720515,3
