,seed,makespan,lateness,nr_unfinished_products
566,63069,924.0,180.0,0
567,12122,925.0,181.0,0
568,68841,928.0,184.0,0
569,45832,926.0,182.0,0
570,14017,927.0,183.0,0
571,14506,942.0,209.0,0
572,52010,935.0,195.0,0
573,16654,942.0,209.0,0
574,42135,922.0,178.0,0
575,83079,937.0,199.0,0
576,35471,928.0,184.0,0
577,47321,923.0,179.0,0
578,50436,943.0,211.0,0
579,24849,928.0,184.0,0
580,75914,935.0,195.0,0
581,20664,939.0,203.0,0
582,30189,942.0,209.0,0
583,57653,926.0,182.0,0
584,20873,927.0,183.0,0
585,28979,939.0,203.0,0
586,69328,924.0,180.0,0
587,96936,902.0,158.0,0
588,49562,920.0,176.0,0
589,35508,934.0,193.0,0
590,66157,935.0,195.0,0
591,14357,908.0,164.0,0
592,19012,920.0,176.0,0
593,40853,935.0,195.0,0
594,89859,950.0,225.0,0
595,41272,925.0,181.0,0
596,14658,948.0,221.0,0
597,17294,925.0,181.0,0
598,61280,933.0,191.0,0
599,60771,930.0,186.0,0
600,18068,938.0,201.0,0
601,49131,922.0,178.0,0
602,32027,933.0,191.0,0
603,89473,929.0,185.0,0
604,43322,936.0,197.0,0
605,93235,934.0,193.0,0
606,52250,931.0,187.0,0
607,74965,943.0,211.0,0
608,18757,926.0,182.0,0
609,21564,937.0,199.0,0
610,22907,922.0,178.0,0
611,92487,936.0,197.0,0
612,88654,918.0,174.0,0
613,91483,921.0,177.0,0
614,10868,941.0,207.0,0
615,32565,940.0,205.0,0
616,98904,921.0,177.0,0
617,71758,936.0,197.0,0
618,99118,922.0,178.0,0
619,51892,935.0,195.0,0
620,27149,930.0,186.0,0
621,90784,917.0,173.0,0
622,36664,932.0,189.0,0
623,70894,940.0,205.0,0
624,87837,919.0,175.0,0
625,62949,919.0,175.0,0
626,51511,933.0,191.0,0
627,54535,932.0,189.0,0
628,16191,938.0,201.0,0
629,9589,930.0,186.0,0
630,33592,934.0,193.0,0
631,15520,927.0,183.0,0
632,6521,927.0,183.0,0
633,32480,925.0,181.0,0
634,53652,944.0,213.0,0
635,67964,929.0,185.0,0
636,46801,925.0,181.0,0
637,72198,930.0,186.0,0
638,51031,938.0,201.0,0
639,5994,942.0,209.0,0
640,41186,931.0,187.0,0
641,30500,940.0,205.0,0
642,83525,928.0,184.0,0
643,89923,912.0,168.0,0
644,48356,937.0,199.0,0
645,55082,923.0,179.0,0
646,59771,921.0,177.0,0
647,16027,932.0,189.0,0
648,20879,943.0,211.0,0
649,78636,943.0,211.0,0
650,48444,920.0,176.0,0
651,98217,932.0,189.0,0
652,42686,913.0,169.0,0
653,47308,925.0,181.0,0
654,63682,922.0,178.0,0
655,40334,937.0,199.0,0
656,62011,944.0,213.0,0
657,34044,931.0,187.0,0
658,39548,938.0,201.0,0
659,22593,937.0,199.0,0
660,10481,930.0,186.0,0
661,97983,941.0,207.0,0
662,97560,937.0,199.0,0
663,68751,916.0,172.0,0
664,79883,938.0,201.0,0
665,76389,940.0,205.0,0
666,9756,922.0,178.0,0
667,3096,922.0,178.0,0
668,27942,916.0,172.0,0
669,41441,928.0,184.0,0
670,91822,918.0,174.0,0
671,94019,935.0,195.0,0
672,76750,930.0,186.0,0
673,81158,932.0,189.0,0
674,73791,956.0,237.0,0
675,22366,923.0,179.0,0
676,74298,940.0,205.0,0
677,23347,920.0,176.0,0
678,8002,943.0,211.0,0
679,19142,923.0,179.0,0
680,9235,933.0,191.0,0
681,45517,925.0,181.0,0
682,45502,933.0,191.0,0
683,52699,922.0,178.0,0
684,39132,939.0,203.0,0
685,19612,933.0,191.0,0
686,18590,929.0,185.0,0
687,43597,925.0,181.0,0
688,40325,938.0,201.0,0
689,79296,942.0,209.0,0
690,3868,932.0,189.0,0
691,74109,940.0,205.0,0
692,6470,931.0,187.0,0
693,16067,924.0,180.0,0
694,27923,934.0,193.0,0
695,62592,924.0,180.0,0
696,85246,936.0,197.0,0
697,59528,929.0,185.0,0
698,66648,927.0,183.0,0
699,34373,937.0,199.0,0
700,50061,941.0,207.0,0
701,27961,942.0,209.0,0
702,13638,934.0,193.0,0
703,9664,914.0,170.0,0
704,50937,924.0,180.0,0
705,53035,931.0,187.0,0
706,38430,922.0,178.0,0
707,98896,916.0,172.0,0
708,63903,952.0,229.0,0
709,23668,932.0,189.0,0
710,45454,920.0,176.0,0
711,81816,917.0,173.0,0
712,58588,934.0,193.0,0
713,69502,933.0,191.0,0
714,36232,935.0,195.0,0
715,72530,925.0,181.0,0
716,67392,938.0,201.0,0
717,14878,920.0,176.0,0
718,22781,935.0,195.0,0
719,54738,939.0,203.0,0
720,53402,921.0,177.0,0
721,59717,928.0,184.0,0
722,26181,942.0,209.0,0
723,95974,930.0,186.0,0
724,57714,944.0,213.0,0
725,8600,935.0,195.0,0
726,83662,930.0,186.0,0
727,18173,940.0,205.0,0
728,37384,927.0,183.0,0
729,5505,930.0,186.0,0
730,68859,925.0,181.0,0
731,52259,953.0,231.0,0
732,29135,942.0,209.0,0
733,86473,919.0,175.0,0
734,38201,922.0,178.0,0
735,251,925.0,181.0,0
736,69331,923.0,179.0,0
737,79885,925.0,181.0,0
738,16626,935.0,195.0,0
739,10144,931.0,187.0,0
740,71897,936.0,197.0,0
741,80972,921.0,177.0,0
742,15694,933.0,191.0,0
743,82123,923.0,179.0,0
744,99756,935.0,195.0,0
745,13995,958.0,241.0,0
746,5053,909.0,165.0,0
747,18720,942.0,209.0,0
748,41168,916.0,172.0,0
749,84574,926.0,182.0,0
750,10715,925.0,181.0,0
751,90289,932.0,189.0,0
752,88651,929.0,185.0,0
753,78878,952.0,229.0,0
754,20041,938.0,201.0,0
755,43845,923.0,179.0,0
756,87075,946.0,217.0,0
757,64802,926.0,182.0,0
758,22483,931.0,187.0,0
759,78105,940.0,205.0,0
760,54127,924.0,180.0,0
