,instance,it,makespan_lb,gap_lb,makespan_stnu,regret,rel_regret,instance_type,status
137,20_3_factory_1,6.0,950.0,0.0,951.0,1.0,0.0010526315789473684,1,feasible_and_dc
138,20_3_factory_1,7.0,931.0,0.0,952.0,21.0,0.022556390977443608,1,feasible_and_dc
139,20_3_factory_1,8.0,951.0,0.0,961.0,10.0,0.010515247108307046,1,feasible_and_dc
140,20_3_factory_1,9.0,965.0,0.0,969.0,4.0,0.004145077720207254,1,feasible_and_dc
141,20_3_factory_1,0.0,951.0,0.0,1020.0,69.0,0.07255520504731862,2,feasible_and_dc
142,20_3_factory_1,1.0,981.0,0.0,1017.0,36.0,0.03669724770642202,2,feasible_and_dc
143,20_3_factory_1,,,,,,,2,feasible_and_dc_but_rte_error
144,20_3_factory_1,3.0,931.0,0.0,1007.0,76.0,0.08163265306122448,2,feasible_and_dc
145,20_3_factory_1,,,,,,,2,feasible_and_dc_but_rte_error
146,20_3_factory_1,5.0,917.0,0.0,1005.0,88.0,0.09596510359869138,2,feasible_and_dc
147,20_3_factory_1,6.0,932.0,0.0,1015.0,83.0,0.0890557939914163,2,feasible_and_dc
148,20_3_factory_1,7.0,964.0,0.0,1014.0,50.0,0.05186721991701245,2,feasible_and_dc
149,20_3_factory_1,8.0,929.0,0.0,1011.0,82.0,0.08826695371367062,2,feasible_and_dc
150,20_3_factory_1,9.0,946.0,0.0,1012.0,66.0,0.06976744186046512,2,feasible_and_dc
151,20_4_factory_1,0.0,863.0,0.0,874.0,11.0,0.012746234067207415,1,feasible_and_dc
152,20_4_factory_1,1.0,827.0,0.0,828.0,1.0,0.0012091898428053204,1,feasible_and_dc
153,20_4_factory_1,2.0,821.0,0.0,831.0,10.0,0.012180267965895249,1,feasible_and_dc
154,20_4_factory_1,3.0,814.0,0.0,827.0,13.0,0.01597051597051597,1,feasible_and_dc
155,20_4_factory_1,4.0,819.0,0.0,855.0,36.0,0.04395604395604396,1,feasible_and_dc
156,20_4_factory_1,5.0,829.0,0.0,829.0,0.0,0.0,1,feasible_and_dc
157,20_4_factory_1,6.0,839.0,0.0,846.0,7.0,0.00834326579261025,1,feasible_and_dc
158,20_4_factory_1,7.0,804.0,0.0,804.0,0.0,0.0,1,feasible_and_dc
159,20_4_factory_1,8.0,827.0,0.0,856.0,29.0,0.03506650544135429,1,feasible_and_dc
160,20_4_factory_1,9.0,851.0,0.0,860.0,9.0,0.010575793184488837,1,feasible_and_dc
161,20_4_factory_1,0.0,826.0,0.0,910.0,84.0,0.1016949152542373,2,feasible_and_dc
162,20_4_factory_1,1.0,848.0,0.0,893.0,45.0,0.05306603773584906,2,feasible_and_dc
163,20_4_factory_1,2.0,814.0,0.0,893.0,79.0,0.09705159705159705,2,feasible_and_dc
