,Product,Activity,Needs,Resources,Request,Retrieve,Start,Finish
71,1,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[Machine(resource_group='Stabilization tanks', id=5)]",296.0,296.0,296.0,385.0
72,9,4,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[Machine(resource_group='Microfilter', id=2)]",362.0,362.0,362.0,390.0
73,9,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[Machine(resource_group='Buffer tanks', id=1)]",363.0,363.0,363.0,390.0
74,9,6,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[Machine(resource_group='Harvesting tanks B', id=4)]",290.0,290.0,290.0,396.0
75,9,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[Machine(resource_group='Filters B', id=0)]",344.0,344.0,344.0,396.0
76,9,8,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[Machine(resource_group='Microfilter', id=0)]",344.0,344.0,344.0,406.0
77,9,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[Machine(resource_group='Buffer tanks', id=3)]",344.0,344.0,344.0,406.0
78,9,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[Machine(resource_group='Buffer tanks', id=2)]",353.0,353.0,353.0,415.0
79,9,10,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[Machine(resource_group='Microfilter', id=1)]",353.0,353.0,353.0,415.0
80,4,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[Machine(resource_group='Fermenter_2', id=0)]",374.0,374.0,374.0,435.0
81,8,13,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[Machine(resource_group='Stabilization tanks', id=6)]",316.0,316.0,316.0,441.0
82,4,2,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[Machine(resource_group='Harvesting tanks B', id=1)]",422.0,422.0,422.0,473.0
83,4,1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[Machine(resource_group='Filters A', id=2)]",456.0,456.0,456.0,473.0
84,4,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[Machine(resource_group='Buffer tanks', id=0)]",456.0,456.0,456.0,478.0
85,4,4,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[Machine(resource_group='Microfilter', id=3)]",458.0,458.0,458.0,478.0
86,4,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[Machine(resource_group='Buffer tanks', id=1)]",466.0,466.0,466.0,485.0
87,4,6,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[Machine(resource_group='Microfilter', id=2)]",466.0,466.0,466.0,485.0
88,9,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[Machine(resource_group='Stabilization tanks', id=7)]",363.0,363.0,363.0,499.0
89,9,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[Machine(resource_group='Stabilization tanks', id=8)]",415.0,415.0,415.0,508.0
90,6,1,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[Machine(resource_group='Harvesting tanks A', id=0)]",519.0,519.0,519.0,534.0
91,4,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[Machine(resource_group='Stabilization tanks', id=9)]",478.0,478.0,478.0,574.0
92,6,2,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[Machine(resource_group='Harvesting tanks A', id=2)]",519.0,519.0,519.0,604.0
93,6,0,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[Machine(resource_group='Fermenter_2', id=0)]",435.0,435.0,435.0,622.0
94,6,6,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[Machine(resource_group='Harvesting tanks B', id=3)]",519.0,519.0,519.0,636.0
95,6,5,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[Machine(resource_group='Harvesting tanks B', id=5)]",594.0,594.0,594.0,636.0
96,6,3,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[Machine(resource_group='Filters A', id=1)]",617.0,617.0,617.0,636.0
97,6,4,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[Machine(resource_group='Filters A', id=0)]",625.0,625.0,625.0,636.0
98,6,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[Machine(resource_group='Buffer tanks', id=3)]",617.0,617.0,617.0,645.0
99,6,8,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[Machine(resource_group='Microfilter', id=0)]",618.0,618.0,618.0,645.0
100,6,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[Machine(resource_group='Buffer tanks', id=2)]",625.0,625.0,625.0,648.0
101,6,11,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","[Machine(resource_group='Microfilter', id=1)]",626.0,626.0,626.0,653.0
102,6,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[Machine(resource_group='Buffer tanks', id=0)]",634.0,634.0,634.0,653.0
103,6,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[Machine(resource_group='Stabilization tanks', id=10)]",645.0,645.0,645.0,742.0
