instance_name,method,test_sample_id,obj,obj_pi,rel_regret
j10_78,STNU,0,26.0,26.0,0.0
j10_78,STNU,1,27.0,27.0,0.0
j10_78,STNU,2,26.0,26.0,0.0
j10_78,STNU,3,26.0,26.0,0.0
j10_78,STNU,4,26.0,26.0,0.0
j10_79,STNU,0,32.0,31.0,3.225806451612903
j10_79,STNU,1,30.0,30.0,0.0
j10_79,STNU,2,31.0,30.0,3.3333333333333335
j10_79,STNU,3,32.0,30.0,6.666666666666667
j10_79,STNU,4,30.0,30.0,0.0
j10_80,STNU,0,inf,35.0,100.0
j10_80,STNU,1,inf,35.0,100.0
j10_80,STNU,2,inf,37.0,100.0
j10_80,STNU,3,inf,38.0,100.0
j10_80,STNU,4,inf,39.0,100.0
j10_81,STNU,0,21.0,20.0,5.0
j10_81,STNU,1,20.0,18.0,11.11111111111111
j10_81,STNU,2,21.0,17.0,23.529411764705884
j10_81,STNU,3,19.0,17.0,11.764705882352942
j10_81,STNU,4,22.0,19.0,15.789473684210526
j10_82,STNU,0,inf,17.0,100.0
j10_82,STNU,1,inf,16.0,100.0
j10_82,STNU,2,inf,16.0,100.0
j10_82,STNU,3,inf,16.0,100.0
j10_82,STNU,4,inf,17.0,100.0
j10_83,STNU,0,inf,25.0,100.0
j10_83,STNU,1,inf,25.0,100.0
j10_83,STNU,2,inf,25.0,100.0
j10_83,STNU,3,inf,25.0,100.0
j10_83,STNU,4,inf,27.0,100.0
j10_84,STNU,0,48.0,48.0,0.0
j10_84,STNU,1,48.0,48.0,0.0
j10_84,STNU,2,47.0,47.0,0.0
j10_84,STNU,3,48.0,48.0,0.0
j10_84,STNU,4,47.0,47.0,0.0
j10_85,STNU,0,inf,23.0,100.0
j10_85,STNU,1,inf,23.0,100.0
j10_85,STNU,2,inf,23.0,100.0
j10_85,STNU,3,inf,23.0,100.0
j10_85,STNU,4,inf,23.0,100.0
j10_86,STNU,0,47.0,42.0,11.904761904761905
j10_86,STNU,1,44.0,40.0,10.0
j10_86,STNU,2,42.0,39.0,7.6923076923076925
j10_86,STNU,3,44.0,40.0,10.0
j10_86,STNU,4,44.0,42.0,4.761904761904762
j10_87,STNU,0,inf,33.0,100.0
j10_87,STNU,1,inf,33.0,100.0
j10_87,STNU,2,inf,34.0,100.0
j10_87,STNU,3,inf,35.0,100.0
j10_87,STNU,4,inf,35.0,100.0
j10_88,STNU,0,inf,42.0,100.0
j10_88,STNU,1,inf,38.0,100.0
j10_88,STNU,2,inf,42.0,100.0
j10_88,STNU,3,inf,41.0,100.0
j10_88,STNU,4,inf,30.0,100.0
j10_89,STNU,0,inf,52.0,100.0
j10_89,STNU,1,inf,53.0,100.0
j10_89,STNU,2,inf,51.0,100.0
j10_89,STNU,3,inf,49.0,100.0
j10_89,STNU,4,inf,51.0,100.0
j10_90,STNU,0,inf,49.0,100.0
j10_90,STNU,1,inf,inf,0.0
j10_90,STNU,2,inf,49.0,100.0
j10_90,STNU,3,inf,49.0,100.0
j10_90,STNU,4,inf,49.0,100.0
j10_91,STNU,0,inf,46.0,100.0
j10_91,STNU,1,inf,45.0,100.0
j10_91,STNU,2,inf,44.0,100.0
j10_91,STNU,3,inf,44.0,100.0
j10_91,STNU,4,inf,47.0,100.0
j10_92,STNU,0,inf,89.0,100.0
j10_92,STNU,1,inf,88.0,100.0
j10_92,STNU,2,inf,86.0,100.0
j10_92,STNU,3,inf,90.0,100.0
j10_92,STNU,4,inf,88.0,100.0
j10_93,STNU,0,inf,inf,0.0
j10_93,STNU,1,inf,inf,0.0
j10_93,STNU,2,inf,inf,0.0
j10_93,STNU,3,inf,inf,0.0
j10_93,STNU,4,inf,inf,0.0
j10_94,STNU,0,inf,32.0,100.0
j10_94,STNU,1,inf,31.0,100.0
j10_94,STNU,2,inf,32.0,100.0
j10_94,STNU,3,inf,30.0,100.0
j10_94,STNU,4,inf,31.0,100.0
j10_95,STNU,0,48.0,48.0,0.0
j10_95,STNU,1,43.0,37.0,16.216216216216218
j10_95,STNU,2,46.0,46.0,0.0
j10_95,STNU,3,47.0,47.0,0.0
j10_95,STNU,4,43.0,43.0,0.0
j10_96,STNU,0,55.0,46.0,19.565217391304348
j10_96,STNU,1,48.0,42.0,14.285714285714286
j10_96,STNU,2,48.0,43.0,11.627906976744185
j10_96,STNU,3,51.0,38.0,34.21052631578947
j10_96,STNU,4,53.0,38.0,39.473684210526315
j10_97,STNU,0,inf,62.0,100.0
j10_97,STNU,1,inf,61.0,100.0
j10_97,STNU,2,inf,61.0,100.0
j10_97,STNU,3,inf,62.0,100.0
j10_97,STNU,4,inf,61.0,100.0
j10_98,STNU,0,inf,57.0,100.0
j10_98,STNU,1,inf,inf,0.0
j10_98,STNU,2,inf,inf,0.0
j10_98,STNU,3,inf,55.0,100.0
j10_98,STNU,4,inf,53.0,100.0
j10_99,STNU,0,inf,43.0,100.0
j10_99,STNU,1,inf,42.0,100.0
j10_99,STNU,2,inf,35.0,100.0
j10_99,STNU,3,inf,37.0,100.0
j10_99,STNU,4,inf,inf,0.0
j10_100,STNU,0,inf,43.0,100.0
j10_100,STNU,1,inf,38.0,100.0
j10_100,STNU,2,inf,43.0,100.0
j10_100,STNU,3,inf,40.0,100.0
j10_100,STNU,4,inf,38.0,100.0
j10_101,STNU,0,inf,inf,0.0
