,instance,status,sample,rcpsp/max_feasible,makespan_rte_star
322,j10/PSP260,feasible_but_not_dc,0,NotApplicable,
323,j10/PSP261,infeasible,0,NotApplicable,
324,j10/PSP262,feasible_but_not_dc,0,NotApplicable,
325,j10/PSP263,feasible_and_dc,0,True,70.0
326,j10/PSP263,feasible_and_dc,1,True,70.0
327,j10/PSP264,feasible_but_not_dc,0,NotApplicable,
328,j10/PSP265,infeasible,0,NotApplicable,
329,j10/PSP266,infeasible,0,NotApplicable,
330,j10/PSP267,feasible_and_dc,0,True,64.0
331,j10/PSP267,feasible_and_dc,1,True,64.0
332,j10/PSP268,feasible_but_not_dc,0,NotApplicable,
333,j10/PSP269,feasible_and_dc,0,True,40.0
334,j10/PSP269,feasible_and_dc,1,True,40.0
335,j10/PSP270,feasible_but_not_dc,0,NotApplicable,
