,instance_folder,instance_name,sample,rel_regret,obj,obj_pi,method,time_limit_initial,time_limit_rescheduling,time_limit_pi
208,j30,PSP5,8,0.0,inf,inf,reactive,60,10,60
209,j30,PSP5,9,0.0,inf,inf,reactive,60,10,60
210,j30,PSP5,10,0.0,inf,inf,reactive,60,10,60
211,j30,PSP5,11,0.0,inf,inf,reactive,60,10,60
212,j30,PSP5,12,0.0,inf,inf,reactive,60,10,60
213,j30,PSP5,13,0.0,inf,inf,reactive,60,10,60
214,j30,PSP5,14,0.0,inf,inf,reactive,60,10,60
215,j30,PSP5,15,0.0,inf,inf,reactive,60,10,60
216,j30,PSP5,16,0.0,inf,inf,reactive,60,10,60
217,j30,PSP5,17,0.0,inf,inf,reactive,60,10,60
218,j30,PSP5,18,0.0,inf,inf,reactive,60,10,60
219,j30,PSP5,19,0.0,inf,inf,reactive,60,10,60
220,j30,PSP5,20,0.0,inf,inf,reactive,60,10,60
221,j30,PSP5,21,0.0,inf,inf,reactive,60,10,60
222,j30,PSP5,22,0.0,inf,inf,reactive,60,10,60
223,j30,PSP5,23,0.0,inf,inf,reactive,60,10,60
224,j30,PSP5,24,0.0,inf,inf,reactive,60,10,60
225,j30,PSP5,25,0.0,inf,inf,reactive,60,10,60
226,j30,PSP5,26,0.0,inf,inf,reactive,60,10,60
227,j30,PSP5,27,0.0,inf,inf,reactive,60,10,60
228,j30,PSP5,28,0.0,inf,inf,reactive,60,10,60
229,j30,PSP5,29,0.0,inf,inf,reactive,60,10,60
230,j30,PSP5,30,0.0,inf,inf,reactive,60,10,60
231,j30,PSP5,31,0.0,inf,inf,reactive,60,10,60
232,j30,PSP5,32,0.0,inf,inf,reactive,60,10,60
233,j30,PSP5,33,0.0,inf,inf,reactive,60,10,60
234,j30,PSP5,34,0.0,inf,inf,reactive,60,10,60
235,j30,PSP5,35,0.0,inf,inf,reactive,60,10,60
236,j30,PSP5,36,0.0,inf,inf,reactive,60,10,60
237,j30,PSP5,37,0.0,inf,inf,reactive,60,10,60
238,j30,PSP5,38,0.0,inf,inf,reactive,60,10,60
239,j30,PSP5,39,0.0,inf,inf,reactive,60,10,60
240,j30,PSP5,40,0.0,inf,inf,reactive,60,10,60
241,j30,PSP5,41,0.0,inf,inf,reactive,60,10,60
242,j30,PSP5,42,0.0,inf,inf,reactive,60,10,60
243,j30,PSP5,43,0.0,inf,inf,reactive,60,10,60
244,j30,PSP5,44,0.0,inf,inf,reactive,60,10,60
245,j30,PSP5,45,0.0,inf,inf,reactive,60,10,60
246,j30,PSP5,46,0.0,inf,inf,reactive,60,10,60
247,j30,PSP5,47,0.0,inf,inf,reactive,60,10,60
248,j30,PSP5,48,0.0,inf,inf,reactive,60,10,60
249,j30,PSP5,49,0.0,inf,inf,reactive,60,10,60
250,j30,PSP6,0,0.0,inf,inf,reactive,60,10,60
251,j30,PSP6,1,0.0,inf,inf,reactive,60,10,60
252,j30,PSP6,2,0.0,inf,inf,reactive,60,10,60
253,j30,PSP6,3,0.0,inf,inf,reactive,60,10,60
254,j30,PSP6,4,0.0,inf,inf,reactive,60,10,60
255,j30,PSP6,5,0.0,inf,inf,reactive,60,10,60
256,j30,PSP6,6,0.0,inf,inf,reactive,60,10,60
257,j30,PSP6,7,0.0,inf,inf,reactive,60,10,60
258,j30,PSP6,8,0.0,inf,inf,reactive,60,10,60
259,j30,PSP6,9,0.0,inf,inf,reactive,60,10,60
260,j30,PSP6,10,0.0,inf,inf,reactive,60,10,60
261,j30,PSP6,11,0.0,inf,inf,reactive,60,10,60
262,j30,PSP6,12,0.0,inf,inf,reactive,60,10,60
263,j30,PSP6,13,0.0,inf,inf,reactive,60,10,60
264,j30,PSP6,14,0.0,inf,inf,reactive,60,10,60
265,j30,PSP6,15,0.0,inf,inf,reactive,60,10,60
266,j30,PSP6,16,0.0,inf,inf,reactive,60,10,60
267,j30,PSP6,17,0.0,inf,inf,reactive,60,10,60
268,j30,PSP6,18,0.0,inf,inf,reactive,60,10,60
269,j30,PSP6,19,0.0,inf,inf,reactive,60,10,60
270,j30,PSP6,20,0.0,inf,inf,reactive,60,10,60
271,j30,PSP6,21,0.0,inf,inf,reactive,60,10,60
272,j30,PSP6,22,0.0,inf,inf,reactive,60,10,60
273,j30,PSP6,23,0.0,inf,inf,reactive,60,10,60
274,j30,PSP6,24,0.0,inf,inf,reactive,60,10,60
275,j30,PSP6,25,0.0,inf,inf,reactive,60,10,60
276,j30,PSP6,26,0.0,inf,inf,reactive,60,10,60
277,j30,PSP6,27,0.0,inf,inf,reactive,60,10,60
278,j30,PSP6,28,0.0,inf,inf,reactive,60,10,60
279,j30,PSP6,29,0.0,inf,inf,reactive,60,10,60
280,j30,PSP6,30,0.0,inf,inf,reactive,60,10,60
281,j30,PSP6,31,0.0,inf,inf,reactive,60,10,60
282,j30,PSP6,32,0.0,inf,inf,reactive,60,10,60
283,j30,PSP6,33,0.0,inf,inf,reactive,60,10,60
284,j30,PSP6,34,0.0,inf,inf,reactive,60,10,60
285,j30,PSP6,35,0.0,inf,inf,reactive,60,10,60
286,j30,PSP6,36,0.0,inf,inf,reactive,60,10,60
287,j30,PSP6,37,0.0,inf,inf,reactive,60,10,60
288,j30,PSP6,38,0.0,inf,inf,reactive,60,10,60
289,j30,PSP6,39,0.0,inf,inf,reactive,60,10,60
290,j30,PSP6,40,0.0,inf,inf,reactive,60,10,60
291,j30,PSP6,41,0.0,inf,inf,reactive,60,10,60
292,j30,PSP6,42,0.0,inf,inf,reactive,60,10,60
293,j30,PSP6,43,0.0,inf,inf,reactive,60,10,60
294,j30,PSP6,44,0.0,inf,inf,reactive,60,10,60
295,j30,PSP6,45,0.0,inf,inf,reactive,60,10,60
296,j30,PSP6,46,0.0,inf,inf,reactive,60,10,60
297,j30,PSP6,47,0.0,inf,inf,reactive,60,10,60
298,j30,PSP6,48,0.0,inf,inf,reactive,60,10,60
299,j30,PSP6,49,0.0,inf,inf,reactive,60,10,60
300,j30,PSP7,0,0.0,inf,inf,reactive,60,10,60
301,j30,PSP7,1,0.0,inf,inf,reactive,60,10,60
302,j30,PSP7,2,0.0,inf,inf,reactive,60,10,60
303,j30,PSP7,3,0.0,inf,inf,reactive,60,10,60
304,j30,PSP7,4,0.0,inf,inf,reactive,60,10,60
305,j30,PSP7,5,0.0,inf,inf,reactive,60,10,60
306,j30,PSP7,6,0.0,inf,inf,reactive,60,10,60
307,j30,PSP7,7,0.0,inf,inf,reactive,60,10,60
308,j30,PSP7,8,0.0,inf,inf,reactive,60,10,60
309,j30,PSP7,9,0.0,inf,inf,reactive,60,10,60
310,j30,PSP7,10,0.0,inf,inf,reactive,60,10,60
311,j30,PSP7,11,0.0,inf,inf,reactive,60,10,60
312,j30,PSP7,12,0.0,inf,inf,reactive,60,10,60
313,j30,PSP7,13,0.0,inf,inf,reactive,60,10,60
314,j30,PSP7,14,0.0,inf,inf,reactive,60,10,60
315,j30,PSP7,15,0.0,inf,inf,reactive,60,10,60
316,j30,PSP7,16,0.0,inf,inf,reactive,60,10,60
317,j30,PSP7,17,0.0,inf,inf,reactive,60,10,60
318,j30,PSP7,18,0.0,inf,inf,reactive,60,10,60
319,j30,PSP7,19,0.0,inf,inf,reactive,60,10,60
320,j30,PSP7,20,0.0,inf,inf,reactive,60,10,60
321,j30,PSP7,21,0.0,inf,inf,reactive,60,10,60
322,j30,PSP7,22,0.0,inf,inf,reactive,60,10,60
323,j30,PSP7,23,0.0,inf,inf,reactive,60,10,60
324,j30,PSP7,24,0.0,inf,inf,reactive,60,10,60
325,j30,PSP7,25,0.0,inf,inf,reactive,60,10,60
326,j30,PSP7,26,0.0,inf,inf,reactive,60,10,60
327,j30,PSP7,27,0.0,inf,inf,reactive,60,10,60
328,j30,PSP7,28,0.0,inf,inf,reactive,60,10,60
329,j30,PSP7,29,0.0,inf,inf,reactive,60,10,60
330,j30,PSP7,30,0.0,inf,inf,reactive,60,10,60
331,j30,PSP7,31,0.0,inf,inf,reactive,60,10,60
