,instance_folder,instance_name,sample,rel_regret,obj,obj_pi,method
,instance_folder,instance_name,sample,relative_regret,obj,obj_pi,method
306,j10,PSP7,6,0.0,43.0,43.0,reactive
307,j10,PSP7,7,0.0,44.0,44.0,reactive
308,j10,PSP7,8,0.0,40.0,40.0,reactive
309,j10,PSP7,9,0.0,44.0,44.0,reactive
310,j10,PSP7,10,0.0,41.0,41.0,reactive
311,j10,PSP7,11,0.0,42.0,42.0,reactive
312,j10,PSP7,12,0.0,44.0,44.0,reactive
313,j10,PSP7,13,100.0,inf,43.0,reactive
314,j10,PSP7,14,0.0,41.0,41.0,reactive
315,j10,PSP7,15,0.0,40.0,40.0,reactive
316,j10,PSP7,16,0.0,41.0,41.0,reactive
317,j10,PSP7,17,100.0,inf,43.0,reactive
318,j10,PSP7,18,0.0,45.0,45.0,reactive
319,j10,PSP7,19,0.0,45.0,45.0,reactive
320,j10,PSP7,20,0.0,41.0,41.0,reactive
321,j10,PSP7,21,0.0,44.0,44.0,reactive
322,j10,PSP7,22,0.0,40.0,40.0,reactive
323,j10,PSP7,23,0.0,45.0,45.0,reactive
324,j10,PSP7,24,0.0,40.0,40.0,reactive
325,j10,PSP7,25,0.0,40.0,40.0,reactive
326,j10,PSP7,26,0.0,42.0,42.0,reactive
327,j10,PSP7,27,0.0,44.0,44.0,reactive
328,j10,PSP7,28,100.0,inf,43.0,reactive
329,j10,PSP7,29,0.0,41.0,41.0,reactive
330,j10,PSP7,30,0.0,41.0,41.0,reactive
331,j10,PSP7,31,0.0,45.0,45.0,reactive
332,j10,PSP7,32,0.0,44.0,44.0,reactive
333,j10,PSP7,33,0.0,44.0,44.0,reactive
334,j10,PSP7,34,0.0,41.0,41.0,reactive
335,j10,PSP7,35,100.0,inf,43.0,reactive
336,j10,PSP7,36,0.0,43.0,43.0,reactive
337,j10,PSP7,37,0.0,44.0,44.0,reactive
338,j10,PSP7,38,0.0,42.0,42.0,reactive
339,j10,PSP7,39,0.0,45.0,45.0,reactive
340,j10,PSP7,40,100.0,inf,43.0,reactive
341,j10,PSP7,41,0.0,42.0,42.0,reactive
342,j10,PSP7,42,0.0,44.0,44.0,reactive
343,j10,PSP7,43,100.0,inf,43.0,reactive
344,j10,PSP7,44,0.0,43.0,43.0,reactive
345,j10,PSP7,45,0.0,40.0,40.0,reactive
346,j10,PSP7,46,0.0,40.0,40.0,reactive
347,j10,PSP7,47,0.0,40.0,40.0,reactive
348,j10,PSP7,48,0.0,40.0,40.0,reactive
349,j10,PSP7,49,0.0,44.0,44.0,reactive
350,j10,PSP8,0,100.0,inf,41.0,reactive
351,j10,PSP8,1,15.0,46.0,40.0,reactive
352,j10,PSP8,2,11.904761904761905,47.0,42.0,reactive
353,j10,PSP8,3,100.0,inf,40.0,reactive
354,j10,PSP8,4,0.0,36.0,36.0,reactive
355,j10,PSP8,5,0.0,36.0,36.0,reactive
356,j10,PSP8,6,0.0,38.0,38.0,reactive
357,j10,PSP8,7,100.0,inf,38.0,reactive
358,j10,PSP8,8,0.0,38.0,38.0,reactive
359,j10,PSP8,9,100.0,inf,40.0,reactive
