,instance,it,makespan_lb,makespan_stnu,regret,rel_regret,instance_type,status
196,40_2_factory_1,3.0,1818.0,3521.0,1703.0,0.9367436743674368,1,feasible_and_dc
197,40_2_factory_1,4.0,1767.0,3583.0,1816.0,1.0277306168647424,1,feasible_and_dc
198,40_2_factory_1,5.0,1814.0,3602.0,1788.0,0.9856670341786108,1,feasible_and_dc
199,40_2_factory_1,6.0,1825.0,3412.0,1587.0,0.8695890410958904,1,feasible_and_dc
200,40_2_factory_1,7.0,1802.0,3504.0,1702.0,0.9445061043285239,1,feasible_and_dc
201,40_2_factory_1,8.0,1839.0,3415.0,1576.0,0.8569874932028276,1,feasible_and_dc
202,40_2_factory_1,9.0,1883.0,3749.0,1866.0,0.9909718534253851,1,feasible_and_dc
203,40_2_factory_1,,,,,,2,infeasible
204,40_3_factory_1,0.0,1583.0,3306.0,1723.0,1.0884396715097915,1,feasible_and_dc
205,40_3_factory_1,1.0,1582.0,3131.0,1549.0,0.9791403286978508,1,feasible_and_dc
206,40_3_factory_1,2.0,1544.0,3155.0,1611.0,1.0433937823834196,1,feasible_and_dc
207,40_3_factory_1,3.0,1542.0,3338.0,1796.0,1.164721141374838,1,feasible_and_dc
208,40_3_factory_1,4.0,1505.0,3250.0,1745.0,1.159468438538206,1,feasible_and_dc
209,40_3_factory_1,5.0,1515.0,3120.0,1605.0,1.0594059405940595,1,feasible_and_dc
210,40_3_factory_1,6.0,1560.0,3338.0,1778.0,1.1397435897435897,1,feasible_and_dc
