,Enzyme name,Fermenter,Enzyme,Stab,MF,Equipment_type,Machine,Start use,End use,Claim time,Release time,Duration use,Duration claim
828,INV,3,10244,100.0,0.0,Fermenter,V200,16919.0,17009.0,16919.0,17017.0,90.0,98.0
829,INV,3,10244,100.0,0.0,FAM,FAM2,17009.0,17036.873617,17009.0,17036.873617,27.873617000001104,27.873617000001104
830,INV,3,10244,100.0,0.0,FAM,FAM1,17009.0,17045.681261,17009.0,17045.681261,36.68126100000154,36.68126100000154
831,INV,3,10244,100.0,0.0,F+L,V21-22-23,17009.0,17056.942396,17009.0,17056.942396,47.94239599999855,47.94239599999855
832,INV,3,10244,100.0,0.0,UF,UF8/9,17012.558299,17062.691629,17009.0,17062.691629,50.13333000000057,53.69162900000083
833,INV,3,10244,100.0,0.0,F+L,V18-19-20,17009.0,17062.691629,17009.0,17062.691629,53.69162900000083,53.69162900000083
834,INV,3,10244,100.0,0.0,UF,UF11/12,17012.558299,17062.691631,17009.0,17062.691631,50.133332000001246,53.69163100000151
835,INV,3,10244,100.0,0.0,F+L,V25-26-27,17042.62313,17062.691631,17042.622852,17062.691631,20.06850100000156,20.068779000001086
836,INV,3,10244,100.0,0.0,V300,V301,17056.942396,17154.691622,17056.942396,17155.691622,97.74922599999991,98.74922599999991
852,EDP-MF,1,25004,0.0,100.0,Harvest tank V01,V01F,16898.0,16913.409375,16888.3,16913.409375,15.409374999999272,25.109375
853,EDP-MF,1,25004,0.0,100.0,MF,MF1,16898.0,16913.409375,16898.0,16913.409375,15.409374999999272,15.409374999999272
854,EDP-MF,1,25004,0.0,100.0,Fermenter,V100,16801.0,16898.0,16801.0,16913.0,97.0,112.0
855,EDP-MF,1,25004,0.0,100.0,UF,UF8/9,16900.017291,16916.673289,16898.0,16916.673289,16.655997999998363,18.673288999998476
856,EDP-MF,1,25004,0.0,100.0,F+L,V18-19-20,16898.0,16916.673289,16898.0,16916.673289,18.673288999998476,18.673288999998476
